8	3	A3	1	0	0	0	10
28	0	C8	0	64	0	64	1
29	2C	1	2C	0	C8	0	C8
2A	0	C8	0	C8	0	C8	0
2B	C8	0	64	0	64	1	2C
2C	1	2C	0	C8	0	C8	0
2D	C8	0	C8	0	C8	0	C8
2E	0	64	0	64	1	2C	1
2F	2C	0	C8	0	C8	0	C8
20	0	C8	0	C8	0	C8	0
21	64	0	64	0	60	0	60
22	0	60	0	E0	0	0	0
5	23	24	1	80	80	0	0
10	81	63	0	E0	0	E0	0
30	12	0	68	3F	4C	0	68
21	E0	0	E0	1	60	1	60
22	0	60	0	60	0	60	0
23	E0	0	E0	0	E0	0	E0
24	0	E0	1	60	1	60	0
25	60	0	60	0	60	0	E0
26	0	E0	0	E0	0	E0	0
27	E0	1	60	1	60	0	60
28	0	60	0	60	0	E0	0
29	E0	0	E0	0	E0	0	E0
2A	1	60	1	60	0	60	0
2B	60	0	60	0	E0	0	E0
2C	0	E0	0	E0	0	E0	1
2D	60	1	60	0	60	0	60
2E	0	60	0	E0	0	E0	0
2F	E0	0	E0	0	E0	1	60
20	1	60	0	60	0	60	0
21	60	0	E0	0	E0	0	E0
22	0	E0	0	E0	0	0	0
5	23	24	2	0	80	0	0
10	81	63	1	60	1	60	0
30	12	0	68	3F	4C	0	68
21	60	0	60	0	60	0	E0
22	0	E0	0	E0	0	E0	0
23	E0	1	60	1	60	6	40
24	6	40	6	40	6	40	6
25	40	6	40	6	40	6	40
26	6	40	6	40	6	40	6
27	40	6	40	6	40	6	40
28	6	40	6	40	6	40	6
29	40	6	40	6	40	6	40
2A	6	40	6	40	6	40	6
2B	40	6	40	6	40	6	40
2C	6	40	6	40	6	40	6
2D	40	6	40	6	40	6	40
2E	6	40	6	40	6	40	6
2F	40	6	40	6	40	6	40
20	6	40	6	40	6	40	6
21	40	6	40	6	40	6	40
22	6	40	6	40	0	0	0
5	23	24	2	80	80	0	0
10	81	63	6	40	6	40	6
30	12	0	68	3F	4C	0	68
21	40	6	40	6	40	6	40
22	6	40	6	40	6	40	6
23	40	6	40	6	40	6	40
24	6	40	6	40	6	40	6
25	40	6	40	6	40	6	40
26	6	40	4	80	4	80	4
27	80	4	80	4	80	4	80
28	4	80	9	C4	9	C4	9
29	C4	9	C4	9	C4	9	C4
2A	9	C4	9	C4	9	C4	9
2B	C4	9	C4	9	C4	9	C4
2C	9	C4	9	C4	9	C4	9
2D	C4	9	C4	9	C4	9	C4
2E	9	C4	9	C4	9	C4	9
2F	C4	9	C4	9	C4	9	C4
20	9	C4	9	C4	9	C4	9
21	C4	9	C4	9	C4	9	C4
22	9	C4	9	C4	0	0	0
5	23	24	3	0	80	0	0
10	81	63	9	C4	9	C4	9
30	12	0	68	3F	4C	0	68
21	C4	9	C4	9	C4	9	C4
22	9	C4	9	C4	9	C4	9
23	C4	9	C4	9	C4	9	C4
24	9	C4	9	C4	9	C4	9
25	C4	9	C4	9	C4	9	C4
