23	13	10	2	E6	13	10	11
24	37	13	10	4	75	13	10
25	25	A9	13	10	2	43	13
26	10	10	7	13	10	25	39
27	13	10	5	5A	13	10	4
28	70	13	10	10	1	9E	10
29	26	0	13	10	10	21	13
2A	10	C2	9D	0	10	C2	9E
2B	0	10	D1	6B	0	10	D1
2C	71	0	10	C1	41	0	10
2D	1	10	13	10	1	15	13
2E	10	1	5	13	10	D1	6F
2F	0	10	C1	55	0	10	0
3	19	2	29	0	0	0	0
10	8F	59	2	FF	25	0A	13
30	0	0	0	0	0	0	0
21	2F	10	1	9E	2F	C2	9D
22	0	27	C2	9E	0	27	D1
23	6F	0	27	1	90	13	27
24	1	5	13	27	10	7	13
25	2F	1	95	13	2F	1	10
26	13	27	25	39	13	27	5
27	20	13	2F	4	70	13	27
28	5	5A	13	2F	25	56	13
29	2F	2	E6	13	27	1	15
2A	13	27	1	B9	13	2F	C4
2B	26	0	2F	26	0	13	2F
2C	0	9B	13	27	2	E0	13
2D	27	10	21	13	2F	4	75
2E	13	2F	25	A9	13	2F	2
2F	43	13	2F	11	37	13	2F
20	C1	41	0	27	C1	55	0
21	27	C1	1	0	2F	D1	73
22	0	2F	D1	6B	0	2F	D1
23	71	0	2F	D1	6C	0	2F
24	10	17	13	2F	0	0	0
3	19	1	0	0	0	0	0
6	59	1	FF	4	0	0	0
6	19	6	25	0A	13	FF	0
10	25	59	6	25	0A	13	2F
30	0	0	0	0	0	0	0
21	31	7F	30	7F	20	0	1
22	13	0	0	0	C3	12	0
23	0	0	C3	11	FF	FF	FF
24	FF	FF	FF	10	FF	FF	FF
25	FF	FF	FF	0	0	0	0
6	19	6	10	1	9E	FF	0
10	25	59	6	10	1	9E	2F
30	0	0	0	0	0	0	0
21	31	7F	30	7F	20	0	36
22	13	0	0	0	0	12	0
23	0	0	0	11	FF	FF	FF
24	FF	FF	FF	10	FF	FF	FF
25	FF	FF	FF	0	0	0	0
6	19	6	C2	9D	0	FF	0
10	25	59	6	C2	9D	0	27
30	0	0	0	0	0	0	0
21	31	7F	30	7F	20	0	1
22	13	0	0	0	C3	12	0
23	0	0	C3	11	FF	FF	FF
24	FF	FF	FF	10	FF	FF	FF
25	FF	FF	FF	0	0	0	0
6	19	6	C2	9E	0	FF	0
10	25	59	6	C2	9E	0	27
30	0	0	0	0	0	0	0
21	31	7F	30	7F	20	0	1
22	13	0	0	0	C3	12	0
23	0	0	C3	11	FF	FF	FF
24	FF	FF	FF	10	FF	FF	FF
25	FF	FF	FF	0	0	0	0
6	19	6	D1	6F	0	FF	0
10	25	59	6	D1	6F	0	27
30	0	0	0	0	0	0	0
21	31	7F	30	7F	20	0	1
22	13	0	0	0	C3	12	0
23	0	0	C3	11	FF	FF	FF
24	FF	FF	FF	10	FF	FF	FF
25	FF	FF	FF	0	0	0	0
6	19	6	1	90	13	FF	0
10	25	59	6	1	90	13	27
30	0	0	0	0	0	0	0
21	31	7F	30	7F	20	0	37
22	13	0	0	0	C3	12	0
23	0	0	C3	11	FF	FF	FF
24	FF	FF	FF	10	FF	FF	FF
25	FF	FF	FF	0	0	0	0
6	19	6	1	5	13	FF	0
10	25	59	6	1	5	13	27
30	0	0	0	0	0	0	0
21	31	7F	30	7F	20	0	1
22	13	0	0	0	C3	12	0
23	0	0	C3	11	FF	FF	FF
24	FF	FF	FF	10	FF	FF	FF
25	FF	FF	FF	0	0	0	0
6	19	6	10	7	13	FF	0
10	25	59	6	10	7	13	2F
